Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.3,Bid Number.2,Bidder Name.2,Value,Rank,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.4,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Tender ID :,Tender Ref No :,Tender Title :
Department of Water Resources||Chief Engineer - DoWR,SILCHAR/2023-24/RIDF/I,2023_DoWR_33226_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENTS,20-Oct-2023 06:30 PM,10-Nov-2023 03:00 PM,20-Oct-2023 06:35 PM,10-Nov-2023 02:00 PM,NA ,NA ,01-Nov-2023 10:00 AM,10-Nov-2023 02:00 PM,25-Jan-2024 06:20 PM,"12,95,012",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,"10,000",Nil,Nil,No,Chief Engineer Water Resources Department,"O/O Chief Engineer Water Resources Department, Basistha, Guwahati 29",R/S to Gagra river Embankment on its R/B along with renovation of sluice gates.,R/S to Gagra river Embankment on its R/B along with renovation of sluice gates.,Please refer Tender documents. ,NA ,"6,47,50,622",Civil Works,NA ,Tender,180.0,365.0,SILCHAR,788001.0,NA ,NA ,NA ,GUWAHATI,No ,No,Department of Water Resources||Chief Engineer - DoWR,SILCHAR/2023-24/RIDF/I,2023_DoWR_33226_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENTS,20-Oct-2023 06:30 PM,10-Nov-2023 03:00 PM,20-Oct-2023 06:35 PM,10-Nov-2023 02:00 PM,NA ,NA ,01-Nov-2023 10:00 AM,10-Nov-2023 02:00 PM,25-Jan-2024 06:20 PM,"12,95,012",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,"10,000",Nil,Nil,No,Chief Engineer Water Resources Department,"O/O Chief Engineer Water Resources Department, Basistha, Guwahati 29",R/S to Gagra river Embankment on its R/B along with renovation of sluice gates.,R/S to Gagra river Embankment on its R/B along with renovation of sluice gates.,Please refer Tender documents. ,NA ,"6,47,50,622",Civil Works,NA ,Tender,180.0,365.0,SILCHAR,788001.0,NA ,NA ,NA ,GUWAHATI,No ,No,18-Apr-2024,"INR 58,275,561",365.0,Jayanta Kumar Barman,18-Apr-2024 11:32 AM,silchar_gagra.pdf (3008.00 KB),R/S to Gagra river Embankment on its R/B along with renovation of sluice gates.,1.0,208240.0,MS PG Construction,INR,"58,275,561",1.0,209959.0,Akhil Kumar Jain,10-Nov-2023 10:27 AM,Rejected-AOC,Not Qualified for AOC,18-Apr-2024 11:32 AM,Finance,Updated CS may be prepared,Jayanta Kumar Barman,27-Feb-2024 03:57 PM,None,BOQ Comparative Chart,Director Design,Internal,,Jayanta Kumar Barman,18-Apr-2024 11:28 AM,finsummary_53461.pdf (559.11 KB),1.0,208240.0,MS PG Construction,"5,82,75,561.00",L1,Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,19-Jan-2024 06:12 PM,None,Director Design,Internal,,Jayanta Kumar Barman,25-Jan-2024 06:16 PM,25-Jan-2024 06:20 PM,techsummary_53461.pdf (375.84 KB),1.0,Tender Revocation,Tender Revocation,04-Jan-2024 05:52 PM,revoke.pdf ,120.73,Technical Opening,,,
,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,209943.0,Ashok Kumar Jain,10-Nov-2023 10:07 AM,Rejected-Technical,Technically Non-Responsive,25-Jan-2024 06:16 PM,,,,,,,,,,,,,2.0,209139.0,GULGULIA TRADE CORPORATION,"5,82,75,561.00",L1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,209910.0,AVIGHNA ASSOCIATES,09-Nov-2023 06:50 PM,Rejected-AOC,Not Qualified for AOC,18-Apr-2024 11:32 AM,,,,,,,,,,,,,3.0,209276.0,PADMAVATI CONSTRUCTION,"5,82,75,561.00",L1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,209139.0,GULGULIA TRADE CORPORATION,08-Nov-2023 10:07 AM,Rejected-AOC,Not Qualified for AOC,18-Apr-2024 11:32 AM,,,,,,,,,,,,,4.0,209520.0,R F CONSTRUCTION and CONSULTANCY,"5,82,75,561.00",L1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,209993.0,I J CONSTRUCTION,10-Nov-2023 12:08 PM,Rejected-Technical,Technically Non-Responsive,25-Jan-2024 06:16 PM,,,,,,,,,,,,,5.0,209840.0,Raju Choudhury,"5,82,75,561.00",L1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,208240.0,MS PG Construction,05-Nov-2023 05:47 PM,Accepted-AOC,PROPER,18-Apr-2024 11:32 AM,,,,,,,,,,,,,6.0,209910.0,AVIGHNA ASSOCIATES,"5,82,75,561.00",L1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,209937.0,NURUL ISLAM LASKAR,10-Nov-2023 12:13 AM,Rejected-Technical,Technically Non-Responsive,25-Jan-2024 06:16 PM,,,,,,,,,,,,,7.0,209959.0,Akhil Kumar Jain,"5,82,75,561.00",L1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,209276.0,PADMAVATI CONSTRUCTION,08-Nov-2023 11:54 PM,Rejected-AOC,Not Qualified for AOC,18-Apr-2024 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,209840.0,Raju Choudhury,09-Nov-2023 09:53 PM,Rejected-AOC,Not Qualified for AOC,18-Apr-2024 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,209520.0,R F CONSTRUCTION and CONSULTANCY,09-Nov-2023 03:42 PM,Rejected-AOC,Not Qualified for AOC,18-Apr-2024 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
