Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.3,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.4,Bid Number.2,Bidder Name.2,Value,Rank,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender ID :,Tender Ref No :,Tender Title :
Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Sibsagar Circle||Mahmora Division,SMD(I)/T-6/3077 Dated 10/06/2024,2024_ID_37551_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,BID DOCUMENT,12-Jun-2024 09:00 AM,27-Jun-2024 01:00 PM,12-Jun-2024 09:00 AM,26-Jun-2024 01:00 PM,NA ,NA ,13-Jun-2024 09:00 AM,26-Jun-2024 01:00 PM,29-Jun-2024 02:15 PM,"58,758",Yes,percentage,2.0%,Nil,Nil,1.0,General Certificate ,PAN ,Permanent Account Number ,,1.0,SBI Bank,"2,000",Nil,Nil,Yes,"EXECUTIVE ENGINEER, Sonari Mahmora Division(I)","O/o The Executive Engineer, Sonari-Mahmora Division (I), Sonari","RENOVATION OF CANAL SYSTEM , MECHANICAL WORKS (BARGE SIZE 7.6M X 4.5M X 1.37M), (2 X 20 H.P) AND L.T ELECTRICAL WORK OF LIS FROM RIVER DESANG IN KHALOIGHUGURA AND BOKOTA MAUZA UNDER SOPD-G FOR THE YEAR 2023-24","RENOVATION OF CANAL SYSTEM , MECHANICAL WORKS (BARGE) AND L.T ELECTRICAL WORK OF LIS FROM RIVER DESANG IN KHALOIGHUGURA AND BOKOTA MAUZA",As per Standard Bid Document ,NA ,"29,37,879",Civil Works – Lift Irrigation Schemes,NA ,Tender,120.0,120.0,Khaloighugura,785688.0,"Sonari-Mahmora Division(I), Sonari ","O/o The Executive Engineer, Sonari-Mahmora Division (I), Sonari ",17-Jun-2024 11:00 AM ,"Sonari-Mahmora Division (I), Sonari",No ,No,Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Sibsagar Circle||Mahmora Division,SMD(I)/T-6/3077 Dated 10/06/2024,2024_ID_37551_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,BID DOCUMENT,12-Jun-2024 09:00 AM,27-Jun-2024 01:00 PM,12-Jun-2024 09:00 AM,26-Jun-2024 01:00 PM,NA ,NA ,13-Jun-2024 09:00 AM,26-Jun-2024 01:00 PM,29-Jun-2024 02:15 PM,"58,758",Yes,percentage,2.0%,Nil,Nil,1.0,General Certificate ,PAN ,Permanent Account Number ,,1.0,SBI Bank,"2,000",Nil,Nil,Yes,"EXECUTIVE ENGINEER, Sonari Mahmora Division(I)","O/o The Executive Engineer, Sonari-Mahmora Division (I), Sonari","RENOVATION OF CANAL SYSTEM , MECHANICAL WORKS (BARGE SIZE 7.6M X 4.5M X 1.37M), (2 X 20 H.P) AND L.T ELECTRICAL WORK OF LIS FROM RIVER DESANG IN KHALOIGHUGURA AND BOKOTA MAUZA UNDER SOPD-G FOR THE YEAR 2023-24","RENOVATION OF CANAL SYSTEM , MECHANICAL WORKS (BARGE) AND L.T ELECTRICAL WORK OF LIS FROM RIVER DESANG IN KHALOIGHUGURA AND BOKOTA MAUZA",As per Standard Bid Document ,NA ,"29,37,879",Civil Works – Lift Irrigation Schemes,NA ,Tender,120.0,120.0,Khaloighugura,785688.0,"Sonari-Mahmora Division(I), Sonari ","O/o The Executive Engineer, Sonari-Mahmora Division (I), Sonari ",17-Jun-2024 11:00 AM ,"Sonari-Mahmora Division (I), Sonari",No ,No,02-Jul-2024,"INR 2,923,190",213.0,Anowar Hussain,06-Jul-2024 02:40 PM,AOC.pdf (395.00 KB),The work is awarded as per accepted rate.,1.0,233483.0,Gourab Traders,INR,"2,923,190",1.0,233456.0,Bubul Gogoi,25-Jun-2024 09:19 PM,Rejected-Finance,Due to rate quoted more than the other bidder,29-Jun-2024 05:15 PM,Finance,Financial Evaluation of Bid,Anowar Hussain,29-Jun-2024 05:03 PM,finance_61109.pdf,BOQ Comparative Chart,"Sameep Jyoti Saikia, Superintending Engineer",Internal,"Anowar Hussain, EE, Usha Konwar I/c AEE (TC), Chinmoy Hazarika, AO, Poranjit Borgohain, JE",Anowar Hussain,29-Jun-2024 05:15 PM,finsummary_61109.pdf (410.42 KB),1.0,233456.0,Bubul Gogoi,"29,37,878.64",L2,Technical,Technical Evaluation,Anowar Hussain,29-Jun-2024 01:47 PM,technical_61109.pdf,"Sameep Jyoti Saikia, Superintending Engineer",Internal,"Anowar Hussain, Executive Engineer, Usha Konwar, i/c Assistant Executive Engineer (TC), Chinmoy Hazarika, Accounts Officer, Poranjit Borgohain, Junior Engineer",Anowar Hussain,29-Jun-2024 01:59 PM,29-Jun-2024 02:15 PM,techsummary_61109.pdf (627.36 KB),,,
,,,,,,,,,,,,,,,,.pdf,QUALIFICATION,,,,,,,,,,,,,,,,2.0,General Certificate ,Goods and Service Tax ,Goods and Service Tax Registration Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,QUALIFICATION,,,,,,,,,,,,,,,,2.0,General Certificate ,Goods and Service Tax ,Goods and Service Tax Registration Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,233483.0,Gourab Traders,25-Jun-2024 09:13 PM,Accepted-AOC,The work is awarded as per accepted rate.,06-Jul-2024 02:40 PM,,,,,,,,,,,,,2.0,233483.0,Gourab Traders,"29,23,189.60",L1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,3.0,General Certificate ,ESIC ,Employees State Insurance Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,3.0,General Certificate ,ESIC ,Employees State Insurance Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,4.0,General Certificate ,Company Details ,"Partnership Deed, Co-Operative Society By Law,MOA,Company Registration Certificates,JV Consortium,Year of Incorporation Certificates ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,4.0,General Certificate ,Company Details ,"Partnership Deed, Co-Operative Society By Law,MOA,Company Registration Certificates,JV Consortium,Year of Incorporation Certificates ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,5.0,General Certificate ,Solvency Certificate ,Solvency Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,5.0,General Certificate ,Solvency Certificate ,Solvency Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,General Certificate ,Other Certificates ,As Mentioned In The Tender Document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,General Certificate ,Other Certificates ,As Mentioned In The Tender Document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Machineries ,Machineries Details ,Machineries Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Machineries ,Machineries Details ,Machineries Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,P/L and Balance Sheet ,Year 1 ,Y1 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,P/L and Balance Sheet ,Year 1 ,Y1 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Technical Documents ,Misc. Documents ,Micellaneous Documents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Technical Documents ,Misc. Documents ,Micellaneous Documents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Works ,Order 1 ,Order 1 executed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Works ,Order 1 ,Order 1 executed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
