Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.3,Bid Number.2,Bidder Name.2,Value,Rank,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender ID :,Tender Ref No :,Tender Title :
"Pr. Chief Conservator of Forest and Head of Forest Force||Chief Conservator of Forests (Upper Assam Zone)||Eastern Assam Circle, Jorhat||Dibrugarh Division","DBR /CAMPA/2023-24/113, Dtd. 22-11-2023",2023_PCCF_34160_1,Yes,Open Tender,Works,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Bid Document,23-Nov-2023 02:00 PM,13-Dec-2023 04:30 PM,23-Nov-2023 04:30 PM,13-Dec-2023 02:00 PM,NA ,NA ,23-Nov-2023 05:00 PM,13-Dec-2023 02:00 PM,"33,087",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,331.0,Nil,Nil,Yes,"Divisional Forest Office, Dibrugarh Division, Dibr","Divisional Forest Office, Dibrugarh Division, Chowkidinghee, Dibrugarh - 786003",Construction of Chain Link Fencing,Construction of 996 RM chain link Fencing with RCC posts UNDER CAMPA SCHEME at Dillighat of Jeypore RF under Dibrugarh Division,Please refer Tender documents. ,NA ,"16,54,356",Agricultural or Forestry,NA ,Tender,120.0,120.0,"Dillighat, Jeypore",786614.0,Divisional Forest Office ,"Divisional Forest Office, Dibrugarh Division, Dibrugarh ",30-Nov-2023 11:30 AM ,"Divisional Forest Office, Dibrugarh",No ,No,"Pr. Chief Conservator of Forest and Head of Forest Force||Chief Conservator of Forests (Upper Assam Zone)||Eastern Assam Circle, Jorhat||Dibrugarh Division","DBR /CAMPA/2023-24/113, Dtd. 22-11-2023",2023_PCCF_34160_1,Yes,Open Tender,Works,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Bid Document,23-Nov-2023 02:00 PM,13-Dec-2023 04:30 PM,23-Nov-2023 04:30 PM,13-Dec-2023 02:00 PM,NA ,NA ,23-Nov-2023 05:00 PM,13-Dec-2023 02:00 PM,"33,087",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,331.0,Nil,Nil,Yes,"Divisional Forest Office, Dibrugarh Division, Dibr","Divisional Forest Office, Dibrugarh Division, Chowkidinghee, Dibrugarh - 786003",Construction of Chain Link Fencing,Construction of 996 RM chain link Fencing with RCC posts UNDER CAMPA SCHEME at Dillighat of Jeypore RF under Dibrugarh Division,Please refer Tender documents. ,NA ,"16,54,356",Agricultural or Forestry,NA ,Tender,120.0,120.0,"Dillighat, Jeypore",786614.0,Divisional Forest Office ,"Divisional Forest Office, Dibrugarh Division, Dibrugarh ",30-Nov-2023 11:30 AM ,"Divisional Forest Office, Dibrugarh",No ,No,02-Mar-2024,"INR 1,488,576.56",120.0,SANDEEP B V,02-Mar-2024 04:26 PM,WorkOrder.pdf (592.00 KB),Work Order,1.0,214972.0,MS/APS ENTERPRISE,INR,"1,488,576.56",1.0,214990.0,B.G. Enterprises,13-Dec-2023 10:16 AM,Rejected-AOC,10 percent below,02-Mar-2024 04:26 PM,Finance,"A meeting was convened in the e-tendering cell of the DFO Office, Dibrugarh to evaluate the bid.",SANDEEP B V,14-Dec-2023 08:05 PM,finance_55270.pdf,BOQ Comparative Chart,B. V. Sandeep,Internal,"Khanindra Kalita, ACF, Pankaj Kr. Bora, FR",SANDEEP B V,02-Mar-2024 03:25 PM,finsummary_55270.pdf (547.27 KB),1.0,214972.0,MS/APS ENTERPRISE,"14,88,576.56",L2,B. V. Sandeep,Internal,"Khanindra Kalita, ACF, Pankaj Kr. Bora, FR",SANDEEP B V,02-Mar-2024 03:06 PM,techsummary_55270.pdf (547.27 KB),,,
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,214890.0,Biswajyoti Bora,13-Dec-2023 10:37 AM,Not Admitted-Fee/PreQual/Technical/Finance,"Others-Not approved due to non submission of satisfactorily completed, as a prime contractor at least one similar work of value not less than Rs. 1654356 lakh in the last 3 financial years",14-Dec-2023 08:05 PM,,,,,,,,,,,,,2.0,214980.0,M/S VIJAY AGARWAL AND SONS,"16,53,952.10",L7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,214989.0,BRAHMAPUTRA CONSTRUCTION,13-Dec-2023 10:02 AM,Rejected-AOC,26.20 percent below,02-Mar-2024 04:26 PM,,,,,,,,,,,,,3.0,214982.0,SHRI NITU SONOWAL,"15,71,638.21",L6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,214972.0,MS/APS ENTERPRISE,12-Dec-2023 05:45 PM,Accepted-AOC,Proper,02-Mar-2024 04:26 PM,,,,,,,,,,,,,4.0,214989.0,BRAHMAPUTRA CONSTRUCTION,"12,20,913.07",L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,214980.0,M/S VIJAY AGARWAL AND SONS,13-Dec-2023 11:08 AM,Rejected-AOC,0.02 percent below,02-Mar-2024 04:26 PM,,,,,,,,,,,,,5.0,214990.0,B.G. Enterprises,"14,88,920.35",L3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,214289.0,RITUPON BARUAH,08-Dec-2023 12:00 AM,Not Admitted-Fee/PreQual/Technical/Finance,"Others-Not approved due to non submission of satisfactorily completed, as a prime contractor at least one similar work of value not less than Rs. 1654356 lakh in the last 3 financial years",14-Dec-2023 08:05 PM,,,,,,,,,,,,,6.0,215012.0,SHRI SUSHANTA KUMAR NAYAK,"14,88,920.40",L4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,214982.0,SHRI NITU SONOWAL,12-Dec-2023 09:27 PM,Rejected-AOC,5 percent below,02-Mar-2024 04:26 PM,,,,,,,,,,,,,7.0,215015.0,SHRI SIMANTA JYOTI BORUAH,"15,22,007.52",L5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,215015.0,SHRI SIMANTA JYOTI BORUAH,13-Dec-2023 11:39 AM,Rejected-AOC,8 percent below,02-Mar-2024 04:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,215012.0,SHRI SUSHANTA KUMAR NAYAK,13-Dec-2023 01:14 PM,Rejected-AOC,10 percent below,02-Mar-2024 04:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023_PCCF_34160_1,"DBR /CAMPA/2023-24/113, Dtd. 22-11-2023",Construction of Chain Link Fencing
