"Year,District,Metric,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec"
"2018,Bilaspur,R/F,13.8,36.9,11.5,45.1,13.6,83.6,330.4,412.2,384.5,13.9,22.0,3.8"
"2018,Bilaspur,%DEP,-78,-45,-79,73,-67,-22,6,36,150,-49,57,-87"
"2018,Chamba,R/F,3.6,71.7,51.1,78.1,48.9,154.3,165.4,275.0,279.8,19.9,54.8,13.1"
"2018,Chamba,%DEP,-97,-36,-58,53,-8,17,-71,-43,23,-59,150,-77"
"2018,Hamirpur,R/F,10.9,42.6,20.6,76.1,22.3,163.2,301.0,591.0,332.8,11.5,17.9,4.3"
"2018,Hamirpur,%DEP,-85,-31,-65,181,-48,14,-22,51,109,-72,29,-86"
"2018,Kangra,R/F,14.0,40.7,33.3,48.8,39.5,214.2,554.9,924.8,428.8,7.9,25.6,6.8"
"2018,Kangra,%DEP,-83,-49,-61,22,-12,47,-5,49,83,-84,62,-83"
"2018,Kinnaur,R/F,1.8,36.8,74.6,40.1,36.0,24.9,51.9,24.5,78.8,0.0,35.7,13.3"
"2018,Kinnaur,%DEP,-98,-66,-35,-48,-48,-33,-31,-70,11,-100,104,-73"
"2018,Kullu,R/F,12.4,56.8,67.5,91.9,43.3,100.1,204.9,194.4,273.8,10.7,88.0,10.9"
"2018,Kullu,%DEP,-86,-41,-50,16,-40,21,11,17,216,-67,276,-74"
"2018,Lahaul & Spiti,R/F,2.8,54.2,35.9,54.6,93.1,82.1,39.1,20.1,169.6,20.8,36.0,4.4"
"2018,Lahaul & Spiti,%DEP,-98,-60,-80,-50,2,57,-76,-86,67,-60,21,-93"
"2018,Mandi,R/F,11.5,44.5,39.3,80.1,30.5,190.4,414.9,434.0,311.3,8.7,36.8,4.5"
"2018,Mandi,%DEP,-84,-34,-52,66,-52,19,1,17,105,-75,141,-85"
"2018,Shimla,R/F,12.0,32.7,37.6,48.8,50.5,139.3,239.3,196.7,231.7,3.8,43.4,4.8"
"2018,Shimla,%DEP,-83,-54,-53,1,-22,33,5,4,104,-88,213,-83"
