Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Value,Rank,Financial Bid Opening Date:
Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Jorhat Circle,JC (I)/Tech/E-Tender/2023/69,2024_ID_37047_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,08-Mar-2024 06:00 PM,29-Mar-2024 03:00 PM,11-Mar-2024 09:00 AM,29-Mar-2024 02:00 PM,NA ,NA ,25-Mar-2024 10:00 AM,29-Mar-2024 02:00 PM,13-Jun-2024 01:00 PM,"2,23,080",Yes,fixed,,Nil,Nil,1.0,General Certificate ,PAN ,Permanent Account Number ,,SBI Bank,"2,500",Nil,Nil,Yes,Superintending Engineer,"o/o SE Jorhat Circle (I), Jorhat","Solar Powered MDTWS at Dani Gaon, Bhuyanhat Koibarta Gaon and Bonia Gaon in Mariani LAC (3 points) under SOPD-SCSP for the year 2023-24","Solar Powered MDTWS at Dani Gaon, Bhuyanhat Koibarta Gaon and Bonia Gaon in Mariani LAC (3 points) under SOPD-SCSP for the year 2023-24",Please refer Tender documents. ,NA ,,Composite Works,NA ,Tender,180.0,270.0,"Titabor Mariani Div (I), Titabor",785008.0,NA ,NA ,NA ,"o/o SE Jorhat Circle (I), Jorhat",No ,No,1.0,14-Jun-2024,"INR 11,153,976",270.0,Sunny Roy,14-Jun-2024 06:33 PM,FWO.pdf (701.00 KB),231324.0,KISHAN SARAF,INR,"11,151,902.17",28-Mar-2024 08:33 PM,Accepted-AOC,Accepted,14-Jun-2024 06:33 PM,Finance,admitted for evaluation,13-Jun-2024 01:34 PM,,BOQ Comparative Chart,Superintending Engineer,Internal,,"1,14,12,581.36",L2,13-Jun-2024 01:00 PM
,,,,,,,,,,,,,,,,.pdf,BID DOC,,,,,,,,,,,,,,,,2.0,General Certificate ,Goods and Service Tax ,Goods and Service Tax Registration Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28-Mar-2024 05:10 PM,Rejected-AOC,Rejected as bidder is L2,14-Jun-2024 06:33 PM,,,,,,,,,"1,11,51,902.17",L1,
,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,3.0,General Certificate ,ESIC ,Employees State Insurance Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Tender Processing Fees,,,,,,,,,,,,,,,,4.0,General Certificate ,PF ,Providenet Fund Certificates ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,TECH DOC,,,,,,,,,,,,,,,,5.0,General Certificate ,Solvency Certificate ,Solvency Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,6.0,General Certificate ,Other Certificates ,As Mentioned In The Tender Document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Machineries ,Machineries Details ,Machineries Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Manpower ,Manpower Details ,Manpower Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,P/L and Balance Sheet ,Year 1 ,Y1 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,P/L and Balance Sheet ,Year 2 ,Y2 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,P/L and Balance Sheet ,Year 3 ,Y3 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,Technical Documents ,Misc. Documents ,Micellaneous Documents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,Works ,Order 1 ,Order 1 executed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
