Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Value,Rank,Financial Bid Opening Date:
National Health Mission||State Programme Management Unit - NHM,NHM-32043/1/2024-CONS-NHM,2024_NHM_36513_6,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,SBD,23-Feb-2024 09:00 AM,05-Mar-2024 03:30 PM,23-Feb-2024 09:00 AM,04-Mar-2024 02:00 PM,NA ,NA ,23-Feb-2024 09:00 AM,04-Mar-2024 02:00 PM,11-Jun-2024 03:30 PM,"2,00,000",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,"2,000",Nil,Nil,No,"O/o MD, NHM, Assam","MD, NHM, Assam","Construction of BPHU at Jaleswar MH and Kuchdhowa SD in Goalpara District under PM ABHIM for the FY 2023-24 under NHM, Assam on Turnkey Basis Group no-7(2 nos. of Scheme in Goalpara District)","Construction of BPHU at Jaleswar MH and Kuchdhowa SD in Goalpara District under PM ABHIM for the FY 2023-24 under NHM, Assam on Turnkey Basis Group no-7(2 nos. of Scheme in Goalpara District)",Please refer Tender documents. ,NA ,"1,00,00,000",Civil Works - Building,NA ,Tender,180.0,270.0,Goalpara,781005.0,NA ,NA ,NA ,"O/o MD, NHM, Assam",No ,No,10-Sep-2024,"INR 8,500,000",270.0,Dipankar Barman,10-Sep-2024 04:45 PM,WOGoalparaBPHU.pdf (189.00 KB),work allotted,228025.0,Chanmahmud Ali,INR,"8,500,000",04-Mar-2024 01:21 PM,Rejected-Technical,Not admitted,11-Jun-2024 03:20 PM,Finance,Financial bid opened,10-Sep-2024 04:34 PM,,BOQ Comparative Chart,osd,Internal,,"85,00,000.00",L1,11-Jun-2024 03:30 PM
,,,,,,,,,,,,,,,,.pdf,EMD AND TENDER FEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03-Mar-2024 05:52 PM,Rejected-Technical,Not admitted,11-Jun-2024 03:20 PM,,,,,,,,,"94,95,400.00",L3,
,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-2024 10:52 AM,Rejected-Finance,Not admitted,10-Sep-2024 04:40 PM,,,,,,,,,"86,90,000.00",L2,
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-2024 01:39 PM,Rejected-Finance,Not admitted,10-Sep-2024 04:40 PM,,,,,,,,,"97,50,000.00",L4,
,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-2024 01:08 PM,Accepted-AOC,work allotted,10-Sep-2024 04:45 PM,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-2024 12:23 PM,Rejected-Finance,Not admitted,10-Sep-2024 04:40 PM,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-2024 12:45 PM,Rejected-Technical,Not admitted,11-Jun-2024 03:20 PM,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-2024 11:01 AM,Rejected-Technical,Not admitted,11-Jun-2024 03:20 PM,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-2024 01:24 PM,Rejected-Technical,Not admitted,11-Jun-2024 03:20 PM,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-2024 11:28 AM,Rejected-Technical,Not admitted,11-Jun-2024 03:20 PM,,,,,,,,,,,
